id,nama_sekolah,alamat,kontak,nspn
1372,SMAN 1 Minggir,Pakeran,-,20401131
1373,SMAN 2 Ngaglik,Sukoharjo,-,20401132
1374,SMAN 2 Sleman,Jln. Brayut,-,20401133
1375,SMK Muhammadiyah Gamping,Jl. Wates Km 6 Yogyakarta,-,20407390
1376,SMA Negeri 10,Jl. Gandekan No. 5 Yk,-,20403175
1377,SMA  Bias Jogja,Jl. P. Wirosobo 17,-,20409895
1378,SMA Kesatuan Bangsa,Jl. Wates Km-10,-,20409906
1379,SMK Maarif Playen,Jatisari,-,20409907
1380,SMAN 1 Tepus,Jl. Baron Km. 12,-,20402115
1381,SMA Negeri 1 Pleret,Kedaton,-,20400375
1382,SMA Darma Amiluhur,Jl. Wates Km 9. Argomulyo. Sedayu,-,20400165
1383,SMA Gotong Royong Semin,Pundungsari. Semin. Gunungkidul,-,20402040
1384,SMA Pembangunan Karangmojo,Srimpi. Karangmojo. Gunungkidul,-,20402052
1385,SMA Pembangunan Iii Ponjong,Sumbergiri. Ponjong. Gunungkidul,-,20402054
1386,SMAN 1 Patuk,Sambipitu. Patuk. Gunungkidul,-,20402120
1387,SMA Negeri 1 Bantul,Jl. Kh. Wahid Hasyim. Bantul,-,20400405
1388,SMA Uii Banguntapan,Jl. Sorowajan Baru,-,20400409
1389,SMAN 1 Dlingo,Koripan. Dlingo.Bantul,-,20400404
1390,SMA Muhammadiyah Pleret,Kanggotan,-,20400398
1391,SMA Dominikus Wonosari,Baleharjo. Wonosari. Gunungkidul,-,20402041
1392,MA Yappi Gubugrubuh,Gubuk Rubuh,-,20402282
1393,SMA Pembangunan Wonosari,Kepek. Wonosari. Gunungkidul,-,20402039
1394,SMA Muhammadiyah Wonosari,Kepek. Wonosari. Gunungkidul,-,20402055
1395,MA Al-Itisham,Jl. Kyai Legi Kepek,-,20402284
1396,SMA Negeri 1 Imogiri,Wukirsari,-,20400403
1397,SMAN 1 Panggang,Giriwungu. Panggang. Gunungkidul,-,20402121
1398,SMAN 2 Wonosari,Jl. Ki Ageng Giring,-,20402137
1399,MA Al-IAnnah,Sumberjo,-,20402283
1400,SMA Insan Cendekia,Turi,-,20404135
1401,SMAN 1 Kalasan,Bogem,-,20401145
1402,SMAN 1 Godean,Sidokarto,-,20401146
1403,SMA Muhammadiyah Kalasan,Dhuri,-,20401147
1404,SMA Muhammadiyah Gamping,Jl. Wates Km. 6,-,20401148
1405,SMA Muhammadiyah 2 Prambanan,Ringinsari. Bokoharjo. Prambanan,-,20401149
1406,SMA Muhammadiyah 1 Sleman,Jl. Magelang Km. 13 Krapyak,-,20401151
1407,SMA Budi Mulia,Pojok,-,20400875
1408,SMA BinataMA Sleman,Jl. Monjali No. 134.,-,20400876
1409,SMA Islam 3 Sleman,Labasan.,-,20400853
1410,SMA Angkasa Adisutjipto,Lanud Adisutjipto Yogyakarta,-,20400865
1411,SMA Bina Harapan Sinduharjo,Jl. Kaliurang Km.10. Gentan. Sinduharjo. Ngaglik,-,20400866
1412,SMA Islam 2 Moyudan,Gedongan. Sumberagung. Moyudan,-,20400867
1413,SMA Islam 1 Prambanan,Kranggan,-,20400868
1414,SMA Institut Indonesia Sleman,Jl. Wonosari Km. 8 Sekarsuli,-,20400869
1415,SMA Immanuel Kalasan,Gampar,-,20400870
1416,SMA IKIP Veteran Ngemplak,Jl. Cangkringan Km. 8.5,-,20400871
1417,SMA GaMA Yogyakarta,Jl. Gejayan Mrican No. 5.,-,20400872
1418,SMA Bhinneka Tunggal Ika,Jl. Poncowinatan 16 Yk,-,20403214
1419,SMA Bopkri 1,Jl. Wardani  2 Yogyakarta,-,20403227
1420,MAN Yk I,Jl. C. Simanjuntak 60 Yk,-,20403375
1421,MAN Yk Ii,Jl. Kha Dahlan 130 Yogyakarta-55261,-,20403387
1422,MA Muallimaat Muhammadiyah Yogyakarta,Jl. Suronatan Ng Ii/ 653 Notoprajan Yogyakarta 55262,-,20403389
1423,MA Muallimin Muhammadiyah,Jl. Letjend  S. Parman No. 68,-,20403390
1424,MA Muhammadiyah Gedongtengen,Jl. Dagen No. 82 Yk,-,20403391
1425,MA Nurul Ummah,Jl. Raden Ronggo Kg Ii/ 982 Yk,-,20403392
1426,SMA Muhammadiyah 7,Jl. Kapten P. Tendean 41 Yk,-,20404174
1427,SMA Muhammadiyah 6,Jl. Wachid Hasyim 16 Yk,-,20403138
1428,SMA Pembangunan,Jl. Madumurti 28 Bugisan Yk,-,20403139
1429,SMA Perak,Jl. Veteran No. 670 Yk,-,20403140
1430,SMA Piri 2,Jl. Mt Haryono No. 23 Yk,-,20403141
1431,SMA Sang Timur,Jl. Batikan 7 Yk,-,20403143
1432,SMA Santa Maria Yogyakarta,Jl. Ireda 19A Yogyakarta,-,20403144
1433,SMA Stella Duce 1,Jl. Sabirin No. 1 Yk,-,20403145
1434,SMA Stella Duce 2,Jl. Dr. Sutomo No. 16 Yk,-,20403146
1435,SMA Muhammadiyah 4,Jl. Mondorakan No. 51 Yk,-,20403148
1436,SMA Muhammadiyah 3 Yogyakarta,Jl. Kapten P. Tendean 58  Yogyakarta,-,20403149
1437,SMA Budya Wacana,Jl. Cik Di Tiro Terban Gk V/248 Yogyakarta 55223,-,20403151
1438,SMA Budi Luhur,Keparakan Kidul Mg 1329 Yk,-,20403152
1439,SMA Gadjah Mada,J. Yudonegaran Gm Ii/ 208 Yk,-,20403153
1440,SMA Gotong Royong Yogyakarta,Jl. Tompeyan 156 Yk,-,20403154
1441,SMA Institut Indonesia,Jl. Miliran Yk,-,20403155
1442,SMA Mataram Yogyakarta,Ndalem Mangkubumen Kt Iii/264 Yogyakarta,-,20403156
1443,SMA Muhammadiyah 1,Jl. Gotong Royong Ii,-,20403157
1444,SMA Muhammadiyah 2,Jl. Kapas No. 7 Yk,-,20403158
1445,SMA Sultan Agung,Jl. Bantul Km 3 Yk,-,20403159
1446,SMA Swasta Budaya,Tinalan Kotagede,-,20403160
1447,SMA TaMAN Madya Ip,Jl. Tamansiswa No. 25 Yk,-,20403172
1448,SMA Bopkri 2,Jl. Jenderal Sudirman 87 Yk,-,20403182
1449,SMA Berbudi,Jl. Imogiri No. 210 Yk,-,20403213
1450,SMA Negeri 1,Jl. Hos Cokroaminoto 10 Yk,-,20403174
1451,SMA Negeri  2,Jl. Am Sangaji 50 Yk,-,20403176
1452,SMA Negeri  3,Jl. Laksda L. Yos Sudarso,-,20403178
1453,SMA Negeri  4,Jl. Magelang Km 3,-,20403179
1454,SMA Negeri  5,Jl. Nyi Pembayun 39 Yk,-,20403180
1455,SMA Negeri  6,Jl. C Simanjuntak 2 Yk,-,20403171
1456,SMA Negeri  7,Jl. Mt Haryono No. 47 Yogyakarta 55141,-,20403170
1457,SMA Negeri  8,Jl. Sidobali 1 Yk,-,20403161
1458,SMA Negeri  9,Jl. Sagan 1 Yk,-,20403162
1459,SMA Negeri 1 Kokap,Hargorejo,-,20402808
1460,SMA Negeri 1 Girimulyo,Giripurwo,-,20402806
1461,MA Masyithoh,Karangnongko.,-,20404142
1462,MA Taruna  Al Quran,Jl Lempongsari 4A,-,20404143
1463,SMA MaArif Wates,Gadingan,-,20402798
1464,SMA N 1 Tanjung Sari,Jl. Baron-Wonosari Km. 29 Kemiri,-,20407361
1465,SMAN 1 Tanjungsari,Jl. Baron - Wonosari  Km.29 Kemiri,-,20407370
1466,SMA Islam Terpadu Bina Umat,Setran,-,20407372
1467,MA Maarif Nglipar,Nglipar,-,20407395
1468,SMK Maarif 3 Wates,Jl. Gadingan,-,20407396
1469,SMK Bina Harapan,J. Kaliurang Km 10 Gentan,-,20407398
1470,SMKN 1 Ponjong,Bedoyo Ponjong,-,20407433
1471,SMK Muhammadiyah Rongkop,Rongkop,-,20407434
1472,SMK Dominikus,Jl. Mgr. Sugiyopranoto No. 29,-,20407435
1473,MA Al Ianah Playen,Jl. Playen-Gading Km. 0,-,20408003
1474,SMA Dr. Wahidin Mlati,Popongan,-,20400873
1475,SMA Santo Mikael Sleman,Warak,-,20401165
1476,SMA Muhammadiyah Minggir,Sidorejo. Sendangrejo. Minggir,-,20401157
1477,SMA Darul Hikmah,Jl. Palagan Tentara Pelajar Km. 15.,-,20400874
1478,SMA Kolese De Brito,Jl. Laksda Adisucipto 161.,-,20401156
1479,SMAN 1 Sleman,Jl. Magelang Km. 14 Medari,-,20401124
1480,MAN Yogyakarta Iii,Jl. Magelang Km 4,-,20401460
1481,MA Raden Fatah,Pelemsari  Bokoharjo,-,20401457
1482,SMK Gotro Semin,Pundungsari. Semin. Gunungkidul,-,20408201
1483,MA Al Itisham Playen,Siyono,-,20408582
1484,MA Ibnul Qoyyim Putra,Jl. Jogja Wonosari Km. 10,-,20409340
1485,SMK Negeri 1 Kokap,Hargorejo,-,20409725
1486,SMK PGRI Pengasih,Pengasih,-,20409726
1487,Madarasah Aliyah Hamalatul Quran,Kembaran Rt 04 Tamantirto,-,20409766
1488,MAN Lab. Uin Yogyakarta,Jl. Ring Road Timur,-,20409781
1489,SMA Darma Amiluhur,Jl. Wates Km 9 Rewulu,-,20409782
1490,SMA Budi Mulia Dua,Panjen Wedomartani,-,20409801
1491,SMK Maarif Ngawen,Sambeng,-,20409842
1492,MA Islamic Centre Bin Baz,Karang Gayam,-,20409845
1493,SMA Negeri  2,Jl.Bener Tegalrejo Kota Yogyakarta,-,20403177
1494,SMA It Abu Bakar,Jl. Rejowinangun 28E,-,20404171
1495,SMA Tunas Muda,Jl. Meruya Utara No. 71,-,20104439
1496,SMA Budi Murni 2,Jl. Puri Kembangan No. 2,-,20101334
1497,SMA Yp-Bdn,Jl. Daan Mogot Komp. Bank Mandiri Pesing,-,20101628
1498,SMAN 86 Jakarta,Jl. Bintaro Raya Komp. Depsos,-,20102565
1499,SMAN 55 Jakarta,Jl. Minyak Raya Duren Tiga,-,20102575
1500,MA Al Wathoniyah Pusat,Jl. Raya Bekasi Timur 17,-,20103985
1501,MA Al Fathiyah,Jl. Manunggal 13 Rt 001/04 No.28,-,20103993
1502,MA Nurul Falah,Jl. Abd. Rahman Kayu Tinggi,-,20104005
1503,SMA Kristen Samaria,Jl. Rawa Kepa Vii No. 748,-,20104431
1504,SMA Muhammadiyah 2,Jl. Garuda No. 33,-,20100182
1505,SMA Muhammadiyah 16,Jl. Kali Baru Barat No. 52 D,-,20100183
1506,MA Al Wathoniyah 43,Jl. Raya Rorotan No.1,-,20100944
1507,SMA Regina Pacis Jakarta,Jl. Palmerah Utara I,-,20101301
1508,SMAN 87 Jakarta,Jl. Mawar 2 Rempoa Raya Bintaro,-,20102564
1509,MA Muhammadiyah Tebet,Jl. Tebet Timur Raya No.565,-,20102830
1510,MAN 14 Jakarta,Jl. Madrasah Rt. 03/09 No. 80,-,20104023
1511,SMA TaMAN Madya V,Jl.Percetakan Negara Viii No.16,-,20100196
1512,SMA Cengkareng 1 Jakarta,Jl. Bambu Larangan Raya No. 67 Cengkareng,-,20101329
1513,SMA Al-Huda,Jl. Utama Raya No. 2,-,20101340
1514,SMAN 78 Jakarta,Jl. Bhakti Iv/1 Komp. Pajak,-,20101588
